,features,lables
0,"SOCCER - JAPAN GET LUCKY WIN , CHINA IN SURPRISE DEFEAT .",O O B-LOC O O O O B-PER O O O O
1,Nadim Ladki,B-PER I-PER
2,"AL-AIN , United Arab Emirates 1996-12-06",B-LOC O B-LOC I-LOC I-LOC O
3,Japan began the defence of their Asian Cup title with a lucky 2-1 win against Syria in a Group C championship match on Friday .,B-LOC O O O O O B-MISC I-MISC O O O O O O O B-LOC O O O O O O O O O
4,"But China saw their luck desert them in the second match of the group , crashing to a surprise 2-0 defeat to newcomers Uzbekistan .",O B-LOC O O O O O O O O O O O O O O O O O O O O O B-LOC O
5,China controlled most of the match and saw several chances missed until the 78th minute when Uzbek striker Igor Shkvyrin took advantage of a misdirected defensive header to lob the ball over the advancing Chinese keeper and into an empty net .,B-LOC O O O O O O O O O O O O O O O B-MISC O B-PER I-PER O O O O O O O O O O O O O O B-MISC O O O O O O O
6,"Oleg Shatskiku made sure of the win in injury time , hitting an unstoppable left foot shot from just outside the area .",B-PER I-PER O O O O O O O O O O O O O O O O O O O O O
7,The former Soviet republic was playing in an Asian Cup finals tie for the first time .,O O B-MISC O O O O O B-MISC I-MISC O O O O O O O
8,"Despite winning the Asian Games title two years ago , Uzbekistan are in the finals as outsiders .",O O O B-MISC I-MISC O O O O O B-LOC O O O O O O O
9,Two goals from defensive errors in the last six minutes allowed Japan to come from behind and collect all three points from their opening meeting against Syria .,O O O O O O O O O O O B-LOC O O O O O O O O O O O O O O B-LOC O
10,"Takuya Takagi scored the winner in the 88th minute , rising to head a Hiroshige Yanagimoto cross towards the Syrian goal which goalkeeper Salem Bitar appeared to have covered but then allowed to slip into the net .",B-PER I-PER O O O O O O O O O O O O B-PER I-PER O O O B-MISC O O O B-PER I-PER O O O O O O O O O O O O O
11,It was the second costly blunder by Syria in four minutes .,O O O O O O O B-LOC O O O O
12,Defender Hassan Abbas rose to intercept a long ball into the area in the 84th minute but only managed to divert it into the top corner of Bitar 's goal .,O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O B-PER O O O
13,Nader Jokhadar had given Syria the lead with a well-struck header in the seventh minute .,B-PER I-PER O O B-LOC O O O O O O O O O O O
14,Japan then laid siege to the Syrian penalty area for most of the game but rarely breached the Syrian defence .,B-LOC O O O O O B-MISC O O O O O O O O O O O B-MISC O O
15,Bitar pulled off fine saves whenever they did .,B-PER O O O O O O O O
16,Japan coach Shu Kamo said : ' ' The Syrian own goal proved lucky for us .,B-LOC O B-PER I-PER O O O O O B-MISC O O O O O O O
17,The Syrians scored early and then played defensively and adopted long balls which made it hard for us . ',O B-MISC O O O O O O O O O O O O O O O O O O
18,',O
19,"Japan , co-hosts of the World Cup in 2002 and ranked 20th in the world by FIFA , are favourites to regain their title here .",B-LOC O O O O B-MISC I-MISC O O O O O O O O O B-ORG O O O O O O O O O
20,Hosts UAE play Kuwait and South Korea take on Indonesia on Saturday in Group A matches .,O B-LOC O B-LOC O B-LOC I-LOC O O B-LOC O O O O O O O
21,All four teams are level with one point each from one game .,O O O O O O O O O O O O O
22,-DOCSTART- RUGBY UNION - CUTTITTA BACK FOR ITALY AFTER A YEAR .,O B-ORG I-ORG O B-PER O O B-LOC O O O O
23,ROME 1996-12-06,B-LOC O
24,Italy recalled Marcello Cuttitta,B-LOC O B-PER I-PER
25,on Friday for their friendly against Scotland at Murrayfield more than a year after the 30-year-old wing announced he was retiring following differences over selection .,O O O O O O B-LOC O B-LOC O O O O O O O O O O O O O O O O O
26,"Cuttitta , who trainer George Coste said was certain to play on Saturday week , was named in a 21-man squad lacking only two of the team beaten 54-21 by England at Twickenham last month .",B-PER O O O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O B-LOC O B-LOC O O O
27,"Stefano Bordon is out through illness and Coste said he had dropped back row Corrado Covi , who had been recalled for the England game after five years out of the national team .",B-PER I-PER O O O O O B-PER O O O O O O B-PER I-PER O O O O O O O B-LOC O O O O O O O O O O
28,"Cuttitta announced his retirement after the 1995 World Cup , where he took issue with being dropped from the Italy side that faced England in the pool stages .",B-PER O O O O O B-MISC I-MISC I-MISC O O O O O O O O O O B-LOC O O O B-LOC O O O O O
29,Coste said he had approached the player two months ago about a comeback .,B-PER O O O O O O O O O O O O O
30,""" He ended the World Cup on the wrong note , "" Coste said .",O O O O B-MISC I-MISC O O O O O O B-PER O O
31,""" I thought it would be useful to have him back and he said he would be available .",O O O O O O O O O O O O O O O O O O O
32,"I think now is the right time for him to return . """,O O O O O O O O O O O O O
33,"Squad : Javier Pertile , Paolo Vaccari , Marcello Cuttitta , Ivan Francescato , Leandro Manteri , Diego Dominguez , Francesco Mazzariol , Alessandro Troncon , Orazio Arancio , Andrea Sgorlon , Massimo Giovanelli , Carlo Checchinato , Walter Cristofoletto , Franco Properzi Curti , Carlo Orlandi , Massimo Cuttitta , Giambatista Croci , Gianluca Guidi , Nicola Mazzucato , Alessandro Moscardi , Andrea Castellani .",O O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O B-PER I-PER O
34,-DOCSTART- SOCCER - LATE GOALS GIVE JAPAN WIN OVER SYRIA .,O O O O O O B-LOC O O B-LOC O
35,"AL-AIN , United Arab Emirates 1996-12-06",B-LOC O B-LOC I-LOC I-LOC O
36,Two goals in the last six minutes gave holders Japan an uninspiring 2-1 Asian Cup victory over Syria on Friday .,O O O O O O O O O B-LOC O O O B-MISC I-MISC O O B-LOC O O O
37,Takuya Takagi headed the winner in the 88th minute of the group C game after goalkeeper Salem Bitar spoiled a mistake-free display by allowing the ball to slip under his body .,B-PER I-PER O O O O O O O O O O O O O O B-PER I-PER O O O O O O O O O O O O O O
38,It was the second Syrian defensive blunder in four minutes .,O O O O B-MISC O O O O O O
39,Defender Hassan Abbas rose to intercept a long ball into the area in the 84th minute but only managed to divert it into the top corner of Bitar 's goal .,O B-PER I-PER O O O O O O O O O O O O O O O O O O O O O O O O B-PER O O O
40,Syria had taken the lead from their first serious attack in the seventh minute .,B-LOC O O O O O O O O O O O O O O
41,Nader Jokhadar headed a cross from the right by Ammar Awad into the top right corner of Kenichi Shimokawa 's goal .,B-PER I-PER O O O O O O O B-PER I-PER O O O O O O B-PER I-PER O O O
42,Japan then laid siege to the Syrian penalty area and had a goal disallowed for offside in the 16th minute .,B-LOC O O O O O B-MISC O O O O O O O O O O O O O O
43,"A minute later , Bitar produced a good double save , first from Kazuyoshi Miura 's header and then blocked a Takagi follow-up shot .",O O O O B-PER O O O O O O O O B-PER I-PER O O O O O O B-PER O O O
44,"Bitar saved well again from Miura in the 37th minute , parrying away his header from a corner .",B-PER O O O O B-PER O O O O O O O O O O O O O
45,Japan started the second half brightly but Bitar denied them an equaliser when he dived to his right to save Naoki Soma 's low drive in the 53rd minute .,B-LOC O O O O O O B-PER O O O O O O O O O O O O B-PER I-PER O O O O O O O O
46,"Japan : 19 - Kenichi Shimokawa , 2 - Hiroshige Yanagimoto , 3 - Naoki Soma , 4 - Masami Ihara , 5 - Norio Omura , 6 - Motohiro Yamaguchi , 8 - Masakiyo Maezono ( 7 - Yasuto Honda 71 ) , 9 - Takuya Takagi , 10 - Hiroshi Nanami , 11 - Kazuyoshi Miura , 15 - Hiroaki Morishima ( 14 - Masayuki Okano 75 ) .",B-LOC O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O
47,"Syria : 24 - Salem Bitar , 3 - Bachar Srour ; 4 - Hassan Abbas , 5 - Tarek Jabban , 6 - Ammar Awad ( 9 - Louay Taleb 69 ) , 8 - Nihad al-Boushi , 10 - Mohammed Afash , 12 - Ali Dib , 13 - Abdul Latif Helou ( 17 - Ammar Rihawiy 46 ) , 14 - Khaled Zaher ; 16 - Nader Jokhadar .",B-LOC O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER O O O B-PER I-PER I-PER O O O B-PER I-PER O O O O O B-PER I-PER O O O B-PER I-PER O
48,-DOCSTART- FREESTYLE SKIING-WORLD CUP MOGUL RESULTS .,O O B-MISC I-MISC O O O
49,"TIGNES , France 1996-12-06",B-LOC O B-LOC O
50,Results of the World Cup,O O O B-MISC I-MISC
51,freestyle skiing moguls competition on Friday :,O O O O O O O
52,Men,O
53,1. Jesper Ronnback ( Sweden ) 25.76 points,O B-PER I-PER O B-LOC O O O
54,2. Andrei Ivanov ( Russia ) 24.88,O B-PER I-PER O B-LOC O O
55,3. Ryan Johnson ( Canada ) 24.57,O B-PER I-PER O B-LOC O O
56,4. Jean-Luc Brassard ( Canada ) 24.40,O B-PER I-PER O B-LOC O O
57,5. Korneilus Hole ( Norway ) 23.92,O B-PER I-PER O B-LOC O O
58,6. Jeremie Collomb-Patton ( France ) 23.87,O B-PER I-PER O B-LOC O O
59,7. Jim Moran ( U.S. ) 23.25,O B-PER I-PER O B-LOC O O
60,8. Dominick Gauthier ( Canada ) 22.73,O B-PER I-PER O B-LOC O O
